ingredient,calcium,potassium,fat,vitamin_c,vitamin_b1,vitamin_b2,iron,sodium,vitamin_a,protein,calories,carbs,fiber
ปลาซ่อนย่าง,160.0,1460.0,2.37,3.5,0.268,0.24,2.5,7030.0,42.0,62.8,290.0,0.0,0.0
ปลาดุก,8.0,302.0,5.94,0.0,0.02,0.083,0.23,98.0,0.0,15.2,119.0,0.0,0.0
ปลาทู,12.0,314.0,13.9,0.4,0.176,0.312,1.63,90.0,50.0,18.6,205.0,0.0,0.0
ปลากุเลา,18.0,272.0,2.34,0.0,0.038,0.059,0.32,83.0,8.0,17.22,94.0,0.0,0.0
ปลาหัวกะโปรง,32.0,417.0,1.34,1.6,0.046,0.003,0.18,64.0,32.0,20.5,100.0,0.0,0.0
ปลาคลุมพุก,47.0,384.0,13.8,0.0,0.15,0.24,0.97,51.0,32.0,16.9,197.0,0.0,0.0
ปลาเกล็ดแข็งอื่นๆ,20.0,272.0,11.7,1.8,0.15,0.04,0.5,51.0,1040.0,18.4,184.0,0.0,0.0
ปลาหางแก้งอย่างดีหรือปลาสลิด,18.0,272.0,2.34,0.0,0.038,0.059,0.32,83.0,8.0,17.22,94.0,0.0,0.0
เนื้อปลาสลาดย่าง,20.0,272.0,11.7,1.8,0.15,0.04,0.5,51.0,1040.0,18.4,184.0,0.0,0.0
ปลาแห้งหรือปลากรอบแกะเนื้อหรือปลาย่างสด,20.0,272.0,11.7,1.8,0.15,0.04,0.5,51.0,1040.0,18.4,184.0,0.0,0.0
ปลาแห้งหรือปลาใบไม้ขนาดกลาง,20.0,272.0,11.7,1.8,0.15,0.04,0.5,51.0,1040.0,18.4,184.0,0.0,0.0
ปลาเค็ม,66.0,520.0,25.1,0.0,0.02,0.19,1.4,4450.0,47.0,18.5,305.0,0.0,0.0
เนื้อปลาเค็ม,66.0,520.0,25.1,0.0,0.02,0.19,1.4,4450.0,47.0,18.5,305.0,0.0,0.0
ปลาเค็มชนิดเนื้อแข็งหั่นชิ้น,66.0,520.0,25.1,0.0,0.02,0.19,1.4,4450.0,47.0,18.5,305.0,0.0,0.0
หอยแมลงภู่,26.0,320.0,2.24,8.0,0.16,0.21,3.95,286.0,48.0,11.9,86.0,3.69,0.0
หอยแมลงภู่สด,26.0,320.0,2.24,8.0,0.16,0.21,3.95,286.0,48.0,11.9,86.0,3.69,0.0
ปลาหมึกสด,32.0,246.0,1.38,4.7,0.02,0.412,0.68,44.0,10.0,15.6,92.0,3.08,0.0
ปลาหมึกแห้ง,32.0,246.0,1.38,4.7,0.02,0.412,0.68,44.0,10.0,15.6,92.0,3.08,0.0
ไข่แมงดานึ่งสุก,28.0,283.0,8.23,16.4,0.277,0.949,0.77,117.0,91.0,28.6,204.0,1.92,0.0
ไข่ปลาตะเพียนขนาดใหญ่,22.0,221.0,6.42,16.0,0.24,0.74,0.6,91.0,90.0,22.3,143.0,1.5,0.0
ไข่,56.0,138.0,9.51,0.0,0.04,0.457,1.75,142.0,160.0,12.6,143.0,0.72,0.0
ไข่ไก่,56.0,138.0,9.51,0.0,0.04,0.457,1.75,142.0,160.0,12.6,143.0,0.72,0.0
ไข่เป็ด,64.0,222.0,13.8,0.0,0.156,0.404,3.85,146.0,194.0,12.8,185.0,1.45,0.0
ไข่เค็ม,64.0,222.0,13.8,0.0,0.156,0.404,3.85,146.0,194.0,12.8,185.0,1.45,0.0
ไข่แดง,129.0,109.0,26.5,0.0,0.176,0.528,2.73,48.0,381.0,15.9,322.0,3.59,0.0
ไข่จืด,56.0,138.0,9.51,0.0,0.04,0.457,1.75,142.0,160.0,12.6,143.0,0.72,0.0
ไข่ต้ม,50.0,126.0,10.6,0.0,0.066,0.513,1.19,124.0,149.0,12.6,155.0,1.12,0.0
ไข่ต้มสุกแข็ง,50.0,126.0,10.6,0.0,0.066,0.513,1.19,124.0,149.0,12.6,155.0,1.12,0.0
กระเทียม,181.0,401.0,0.38,10.0,0.2,0.11,1.7,17.0,0.0,6.62,143.0,28.2,2.7
กระเทียมกลีบใหญ่,181.0,401.0,0.38,10.0,0.2,0.11,1.7,17.0,0.0,6.62,143.0,28.2,2.7
กะเทียม,181.0,401.0,0.38,10.0,0.2,0.11,1.7,17.0,0.0,6.62,143.0,28.2,2.7
หอม,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หอมแดง,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หอมซอย,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หอมเล็ก,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หอมหัวเล็ก,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หอมหัวเล็กซอยละเอียด,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หัวหอมเล็กซอย,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หัวหอมเล็ก,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หอมเจียว,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หอมเจียวเล็กน้อย,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หอมเผา,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หัวหอมเผา,37.0,334.0,0.1,8.0,0.06,0.02,1.2,12.0,0.0,2.5,72.0,16.8,3.2
หอมหัวใหญ่,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หอมใหญ่,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
