ingredient,calcium,potassium,fat,vitamin_c,vitamin_b1,vitamin_b2,iron,sodium,vitamin_a,protein,calories,carbs,fiber
แตงร้าน,16.0,147.0,0.11,2.8,0.027,0.033,0.28,2.0,5.0,0.65,15.0,3.63,0.5
แตงร้านอ่อน,16.0,147.0,0.11,2.8,0.027,0.033,0.28,2.0,5.0,0.65,15.0,3.63,0.5
แตงร้านขนาดกลาง,16.0,147.0,0.11,2.8,0.027,0.033,0.28,2.0,5.0,0.65,15.0,3.63,0.5
เปลือกแตงโม,7.0,112.0,0.15,8.1,0.033,0.021,0.24,1.0,28.0,0.61,30.0,7.55,0.4
ฟัก,19.0,6.0,0.2,13.0,0.04,0.11,0.4,111.0,0.0,0.4,13.0,3.0,2.9
ฟักเขียว,19.0,6.0,0.2,13.0,0.04,0.11,0.4,111.0,0.0,0.4,13.0,3.0,2.9
ฟักทอง,21.0,340.0,0.1,9.0,0.05,0.11,0.8,1.0,426.0,1.0,26.0,6.5,0.5
ฟักทองหั่น,21.0,340.0,0.1,9.0,0.05,0.11,0.8,1.0,426.0,1.0,26.0,6.5,0.5
ฟักทองหั่นแล้ว,21.0,340.0,0.1,9.0,0.05,0.11,0.8,1.0,426.0,1.0,26.0,6.5,0.5
ฟักทองปอกเปลือกและหั่นเป็นชิ้น,21.0,340.0,0.1,9.0,0.05,0.11,0.8,1.0,426.0,1.0,26.0,6.5,0.5
หน่อไม้,13.0,533.0,0.3,4.0,0.15,0.07,0.5,4.0,1.0,2.6,27.0,5.2,2.2
หน่อไม้ไผ่ตง,13.0,533.0,0.3,4.0,0.15,0.07,0.5,4.0,1.0,2.6,27.0,5.2,2.2
หน่อไม้ไผ่ตรง,13.0,533.0,0.3,4.0,0.15,0.07,0.5,4.0,1.0,2.6,27.0,5.2,2.2
หัวผักกาดแดง,36.0,258.0,0.24,4.2,0.054,0.106,0.12,75.0,762.0,0.87,44.0,9.68,2.9
หัวผักกาดเหลือง,36.0,258.0,0.24,4.2,0.054,0.106,0.12,75.0,762.0,0.87,44.0,9.68,2.9
แครอท,36.0,258.0,0.24,4.2,0.054,0.106,0.12,75.0,762.0,0.87,44.0,9.68,2.9
หัวแครอท,36.0,258.0,0.24,4.2,0.054,0.106,0.12,75.0,762.0,0.87,44.0,9.68,2.9
แครอทหั่นชิ้นพอดีคำ,36.0,258.0,0.24,4.2,0.054,0.106,0.12,75.0,762.0,0.87,44.0,9.68,2.9
หัวผักกาดเค็ม,629.0,3490.0,0.72,0.0,0.27,0.68,6.73,278.0,0.0,7.9,271.0,63.4,23.9
หัวผักกาดเค็มหั่นละเอียด,629.0,3490.0,0.72,0.0,0.27,0.68,6.73,278.0,0.0,7.9,271.0,63.4,23.9
หัวไชเท้า,27.0,227.0,0.1,22.0,0.02,0.02,0.4,21.0,0.0,0.6,18.0,4.1,1.6
ตั้งฉ่าย,21.0,219.0,0.21,40.7,0.037,0.073,0.22,983.0,194.0,0.94,46.0,10.18,1.6
ตังฉ่าย,21.0,219.0,0.21,40.7,0.037,0.073,0.22,983.0,194.0,0.94,46.0,10.18,1.6
ตังฉ่ายสับละเอียด,21.0,219.0,0.21,40.7,0.037,0.073,0.22,983.0,194.0,0.94,46.0,10.18,1.6
ซีเซ็กฉ่าย,21.0,219.0,0.21,40.7,0.037,0.073,0.22,983.0,194.0,0.94,46.0,10.18,1.6
น้ำซีเซ็กฉ่าย,21.0,219.0,0.21,40.7,0.037,0.073,0.22,983.0,194.0,0.94,46.0,10.18,1.6
เกี้ยมฉ่ายขนาดกลาง,21.0,219.0,0.21,40.7,0.037,0.073,0.22,983.0,194.0,0.94,46.0,10.18,1.6
จีฉ่าย,372.0,1244.0,4.01,5.0,1.195,1.946,24.95,575.0,14.0,31.84,298.0,52.39,5.6
ก๋งฉ่าย,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
มันฝรั่ง,12.0,425.0,0.09,19.7,0.081,0.032,0.81,6.0,0.0,2.05,77.0,17.5,2.1
มันฝรั่งหั่นเล็ก ๆ,12.0,425.0,0.09,19.7,0.081,0.032,0.81,6.0,0.0,2.05,77.0,17.5,2.1
มันฝรั่งต้มสุกหั่นเล็ก,8.0,328.0,0.1,7.4,0.098,0.019,0.31,5.0,0.0,1.71,86.0,20.0,1.8
มันแกว,12.0,150.0,0.09,20.2,0.02,0.029,0.6,4.0,1.0,0.72,38.0,8.82,4.9
แห้ว,11.0,584.0,0.1,4.0,0.14,0.2,0.06,14.0,0.0,1.4,97.0,23.9,3.0
แห้วจีน,11.0,584.0,0.1,4.0,0.14,0.2,0.06,14.0,0.0,1.4,97.0,23.9,3.0
แห้วหั่นละเอียด,11.0,584.0,0.1,4.0,0.14,0.2,0.06,14.0,0.0,1.4,97.0,23.9,3.0
เห็ดฟาง,10.0,78.0,0.68,0.0,0.013,0.07,1.43,384.0,0.0,3.83,32.0,4.64,2.5
เห็ดกระป๋องสไลซ์บาง,11.0,129.0,0.29,0.0,0.085,0.021,0.79,425.0,0.0,1.87,25.0,5.09,2.4
ถั่วฝักยาว,50.0,240.0,0.4,18.8,0.107,0.11,0.47,4.0,43.0,2.8,47.0,8.35,0.0
ถั่วพู,224.0,176.0,1.1,45.0,0.833,0.602,4.0,9.0,405.0,5.85,74.0,14.1,0.0
ถั่วพูอ่อนหั่นเฉียง,224.0,176.0,1.1,45.0,0.833,0.602,4.0,9.0,405.0,5.85,74.0,14.1,0.0
ถั่วลันเตา,25.0,244.0,0.4,40.0,0.266,0.132,1.47,5.0,38.0,5.42,81.0,14.4,5.7
เม็ดถั่วลันเตา,25.0,244.0,0.4,40.0,0.266,0.132,1.47,5.0,38.0,5.42,81.0,14.4,5.7
ถั่วแขก,40.0,290.0,0.275,0.0,0.06,0.0,0.652,0.0,0.0,1.97,0.0,7.41,3.01
น้ำเต้า,26.0,150.0,0.02,10.1,0.029,0.022,0.2,2.0,0.0,0.62,14.0,3.39,0.5
กล้วย,5.0,358.0,0.33,8.7,0.031,0.073,0.26,1.0,3.0,1.09,89.0,22.8,2.6
กล้วยไข่,5.0,358.0,0.33,8.7,0.031,0.073,0.26,1.0,3.0,1.09,89.0,22.8,2.6
กล้วยน้ำว้าสุก,5.0,358.0,0.33,8.7,0.031,0.073,0.26,1.0,3.0,1.09,89.0,22.8,2.6
ปลีกล้วย,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
มะม่วงดิบ,11.0,168.0,0.38,36.4,0.028,0.038,0.16,1.0,54.0,0.82,60.0,14.98,1.6
มะม่วงดิบซอย,11.0,168.0,0.38,36.4,0.028,0.038,0.16,1.0,54.0,0.82,60.0,14.98,1.6
มะละกอ,20.0,182.0,0.26,60.9,0.023,0.027,0.25,8.0,47.0,0.47,43.0,10.8,1.7
สับปะรด,13.0,109.0,0.12,47.8,0.079,0.032,0.29,1.0,3.0,0.54,50.0,13.1,1.4
สับปะรดปอกเปลือก,13.0,109.0,0.12,47.8,0.079,0.032,0.29,1.0,3.0,0.54,50.0,13.1,1.4
มะพร้าว,14.0,356.0,33.5,3.3,0.066,0.02,2.43,20.0,0.0,3.33,354.0,15.2,9.0
มะพร้าวขูด,14.0,356.0,33.5,3.3,0.066,0.02,2.43,20.0,0.0,3.33,354.0,15.2,9.0
มะพร้าวขูดเส้น,14.0,356.0,33.5,3.3,0.066,0.02,2.43,20.0,0.0,3.33,354.0,15.2,9.0
มะพร้าวขูดแล้ว,14.0,356.0,33.5,3.3,0.066,0.02,2.43,20.0,0.0,3.33,354.0,15.2,9.0
มะพร้าวขูดกระต่ายจีน,14.0,356.0,33.5,3.3,0.066,0.02,2.43,20.0,0.0,3.33,354.0,15.2,9.0
มะพร้าวขูดคั่ว,14.0,356.0,33.5,3.3,0.066,0.02,2.43,20.0,0.0,3.33,354.0,15.2,9.0
มะพร้าวคั่ว,14.0,356.0,33.5,3.3,0.066,0.02,2.43,20.0,0.0,3.33,354.0,15.2,9.0
มะพร้าวทึมทึก,14.0,356.0,33.5,3.3,0.066,0.02,2.43,20.0,0.0,3.33,354.0,15.2,9.0
ส้มโอ,4.0,216.0,0.04,61.0,0.034,0.027,0.11,1.0,0.0,0.76,38.0,9.62,1.0
ส้มเขียวหวาน,37.0,166.0,0.31,26.7,0.058,0.036,0.15,2.0,34.0,0.81,53.0,13.3,1.8
ส้มซ่า,37.0,166.0,0.31,26.7,0.058,0.036,0.15,2.0,34.0,0.81,53.0,13.34,1.8
ผิวส้มเหม็นหั่นละเอียด,134.0,160.0,0.3,129.0,0.06,0.08,0.8,6.0,3.0,1.5,47.0,16.0,10.6
เปลือกส้มโอ,4.0,216.0,0.04,61.0,0.034,0.027,0.11,1.0,0.0,0.76,38.0,9.62,1.0
ส้มมะขามเปียก,74.0,628.0,0.6,3.5,0.428,0.152,2.8,28.0,2.0,2.8,239.0,62.5,5.1
น้ำส้มมะขามเปียก,74.0,628.0,0.6,3.5,0.428,0.152,2.8,28.0,2.0,2.8,239.0,62.5,5.1
มะขามเปียก,74.0,628.0,0.6,3.5,0.428,0.152,2.8,28.0,2.0,2.8,239.0,62.5,5.1
น้ำมะขามเปียก,74.0,628.0,0.6,3.5,0.428,0.152,2.8,28.0,2.0,2.8,239.0,62.5,5.1
ระกำฝานแต่เนื้อ,17.0,125.0,0.13,7.7,0.025,0.029,0.34,2.0,0.0,0.82,19.0,4.51,1.7
มะดัน,33.0,102.0,0.2,29.1,0.03,0.02,0.6,2.0,2.0,0.7,30.0,10.54,2.8
มะเฟืองสุก,3.0,133.0,0.33,34.4,0.014,0.016,0.08,2.0,3.0,1.04,31.0,6.73,2.8
ละมุด,21.0,193.0,1.1,14.7,0.0,0.02,0.8,12.0,3.0,0.44,83.0,20.0,5.3
พุดชาจีน,21.0,250.0,0.2,69.0,0.02,0.04,0.48,3.0,2.0,1.2,79.0,20.2,0.0
พุทรา,21.0,250.0,0.2,69.0,0.02,0.04,0.48,3.0,2.0,1.2,79.0,20.2,0.0
แอปเปิล,5.98,104.0,0.162,0.0,0.00625,0.0675,0.015,1.01,0.0,0.148,0.0,15.7,2.08
สาเก,17.0,490.0,0.23,29.0,0.11,0.03,0.54,2.0,0.0,1.07,103.0,27.1,4.9
มะตูมอ่อน,17.0,125.0,0.13,7.7,0.025,0.029,0.34,2.0,0.0,0.82,19.0,4.51,1.7
ข้าวเหนียวขาว,2.0,10.0,0.19,0.0,0.02,0.013,0.14,227.0,0.0,2.01,96.0,20.97,1.0
ข้าวสาร,4.46,82.3,1.03,0.0,0.065,0.08,0.14,0.462,0.0,7.04,0.0,80.3,0.149
ข้าวสาว,4.46,82.3,1.03,0.0,0.065,0.08,0.14,0.462,0.0,7.04,0.0,80.3,0.149
ข้าวคั่ว,4.46,82.3,1.03,0.0,0.065,0.08,0.14,0.462,0.0,7.04,0.0,80.3,0.149
ข้าวเบือ,2.0,10.0,0.19,0.0,0.02,0.013,0.14,227.0,0.0,2.01,96.0,20.97,1.0
ข้าวเม่า,2.0,10.0,0.19,0.0,0.02,0.013,0.14,227.0,0.0,2.01,96.0,20.97,1.0
ข้าวตาก,4.46,82.3,1.03,0.0,0.065,0.08,0.14,0.462,0.0,7.04,0.0,80.3,0.149
แป้งข้าวเจ้า,6.0,75.0,1.3,0.0,0.09,0.0,0.22,5.0,0.0,6.94,359.0,79.8,0.5
แป้งข้าวจ้าว,6.0,75.0,1.3,0.0,0.09,0.0,0.22,5.0,0.0,6.94,359.0,79.8,0.5
แป้งข้าวเจ้าแห้ง,6.0,75.0,1.3,0.0,0.09,0.0,0.22,5.0,0.0,6.94,359.0,79.8,0.5
แป้งข้าวจ้าวแห้ง,6.0,75.0,1.3,0.0,0.09,0.0,0.22,5.0,0.0,6.94,359.0,79.8,0.5
แป้งข้าวแดง,6.0,75.0,1.3,0.0,0.09,0.0,0.22,5.0,0.0,6.94,359.0,79.8,0.5
แป้งข้าวเหนียว,10.0,80.0,1.16,0.0,0.053,0.0,0.34,6.0,0.0,6.69,358.0,80.1,0.0
แป้งข้าวเหนียวขาว,10.0,80.0,1.16,0.0,0.053,0.0,0.34,6.0,0.0,6.69,358.0,80.1,0.0
แป้งสาลี,15.0,107.0,0.98,0.0,0.12,0.04,1.17,2.0,0.0,10.3,364.0,76.3,2.7
แป้งสาลีอเนกประสงค์,15.0,107.0,0.98,0.0,0.12,0.04,1.17,2.0,0.0,10.3,364.0,76.3,2.7
แป้งสาลีอย่างดี,14.0,105.0,0.86,0.0,0.892,0.43,7.32,2.0,0.0,8.2,362.0,78.0,1.7
แป้งมัน,17.0,282.0,3.03,18.2,0.082,0.048,0.28,145.0,13.0,1.42,191.0,39.62,1.9
แป้งมันสำปะหลัง,17.0,282.0,3.03,18.2,0.082,0.048,0.28,145.0,13.0,1.42,191.0,39.62,1.9
แป้งมันอย่างดี,17.0,282.0,3.03,18.2,0.082,0.048,0.28,145.0,13.0,1.42,191.0,39.62,1.9
งาขาว,975.0,468.0,49.7,0.0,0.791,0.247,14.6,11.0,0.0,17.7,573.0,23.4,11.8
งาขาวคั่ว,989.0,475.0,48.0,0.0,0.803,0.251,14.8,11.0,0.0,17.0,565.0,25.7,14.0
งาดำ,975.0,468.0,49.7,0.0,0.791,0.247,14.6,11.0,0.0,17.7,573.0,23.4,11.8
งาดำคั่วแล้ว,975.0,468.0,49.7,0.0,0.791,0.247,14.6,11.0,0.0,17.7,573.0,23.4,11.8
เมล็ดแตงโม,54.0,648.0,47.4,0.0,0.19,0.145,7.28,99.0,0.0,28.3,557.0,15.3,0.0
ถั่วเขียวคั่ว,132.0,1250.0,1.15,4.8,0.621,0.233,6.74,15.0,6.0,23.9,347.0,62.6,16.3
ถั่วทอง,13.0,149.0,0.18,13.2,0.084,0.124,0.91,6.0,1.0,3.04,30.0,5.94,1.8
ถั่วทองคั่วหรือถั่วเขียวคั่ว,132.0,1250.0,1.15,4.8,0.621,0.233,6.74,15.0,6.0,23.9,347.0,62.6,16.3
ถั่วเขียวหรือถั่วทองคั่ว,132.0,1250.0,1.15,4.8,0.621,0.233,6.74,15.0,6.0,23.9,347.0,62.6,16.3
ถั่วเขียว,132.0,1250.0,1.15,4.8,0.621,0.233,6.74,15.0,6.0,23.9,347.0,62.6,16.3
ถั่วเหลือง,277.0,1800.0,19.9,6.0,0.874,0.87,15.7,2.0,1.0,36.5,446.0,30.2,9.3
ถั่วลิสง,92.0,705.0,49.2,0.0,0.64,0.135,4.58,18.0,0.0,25.8,567.0,16.1,8.5
ถั่วลิสงคั่ว,58.0,634.0,49.7,0.0,0.152,0.197,1.58,6.0,0.0,24.4,587.0,21.3,8.4
ถั่วลิสงคั่วป่นละเอียด,58.0,634.0,49.7,0.0,0.152,0.197,1.58,6.0,0.0,24.4,587.0,21.3,8.4
ถั่วลิสงคั่วซอย,58.0,634.0,49.7,0.0,0.152,0.197,1.58,6.0,0.0,24.4,587.0,21.3,8.4
ถั่วลิสงคั่วซอยแล้ว,58.0,634.0,49.7,0.0,0.152,0.197,1.58,6.0,0.0,24.4,587.0,21.3,8.4
ถั่วลิสงดิบ,92.0,705.0,49.2,0.0,0.64,0.135,4.58,18.0,0.0,25.8,567.0,16.1,8.5
ถั่วลิสงป่น,58.0,634.0,49.7,0.0,0.152,0.197,1.58,6.0,0.0,24.4,587.0,21.3,8.4
ถั่วลิสงทอดกรอบ,61.0,726.0,52.5,0.8,0.085,0.089,1.52,6.0,0.0,28.0,599.0,15.3,9.4
ถั่วยี่สงคั่ว,58.0,634.0,49.7,0.0,0.152,0.197,1.58,6.0,0.0,24.4,587.0,21.3,8.4
ถั่วยี่สงคั่วใหม่ ๆ,58.0,634.0,49.7,0.0,0.152,0.197,1.58,6.0,0.0,24.4,587.0,21.3,8.4
ถั่วขาวต้มสุก,90.0,561.0,0.35,0.0,0.118,0.046,3.7,6.0,0.0,9.73,139.0,25.1,6.3
ถั่วกระป๋อง,34.0,224.0,0.37,0.0,0.096,0.039,1.19,343.0,5.0,4.75,94.0,21.1,4.1
ถั่วกระป๋องลวก,34.0,224.0,0.37,0.0,0.096,0.039,1.19,343.0,5.0,4.75,94.0,21.1,4.1
ถั่วเมล็ดกลม,25.0,244.0,0.4,40.0,0.266,0.132,1.47,5.0,38.0,5.42,81.0,14.4,5.7
เมล็ดถั่วลันเตาต้มสุกหรือกระป๋อง,20.0,173.0,0.35,9.6,0.121,0.078,0.95,2.0,27.0,4.42,69.0,12.6,4.1
ลูกเกาลัก,18.0,447.0,1.11,36.0,0.16,0.18,1.41,3.0,10.0,4.2,224.0,49.1,0.0
ลูกแปะก๊วย,2.0,510.0,1.68,15.0,0.22,0.09,1.0,7.0,28.0,4.32,182.0,37.6,0.0
ลูกเกดเล็ก,28.0,825.0,0.54,5.4,0.112,0.182,2.59,28.0,0.0,2.52,296.0,78.5,6.8
วุ้นเส้น,25.0,10.0,0.06,0.0,0.15,0.0,2.17,10.0,0.0,0.16,351.0,86.1,0.5
วุ้นเส้นลวกให้พอง,25.0,10.0,0.06,0.0,0.15,0.0,2.17,10.0,0.0,0.16,351.0,86.1,0.5
วุ้นเคี่ยวแล้วซอย,25.0,10.0,0.06,0.0,0.15,0.0,2.17,10.0,0.0,0.16,351.0,86.1,0.5
เส้นหมี่,18.0,30.0,0.56,0.0,0.031,0.017,0.7,182.0,0.0,5.95,364.0,80.2,1.6
เส้นบะหมี่,35.0,244.0,4.44,0.0,1.13,0.426,4.01,21.0,17.0,14.2,384.0,71.3,3.3
เส้นบะหมี่แห้ง,35.0,244.0,4.44,0.0,1.13,0.426,4.01,21.0,17.0,14.2,384.0,71.3,3.3
ก๋วยเตี๋ยว,18.0,30.0,0.56,0.0,0.031,0.017,0.7,182.0,0.0,5.95,364.0,80.2,1.6
ก๋วยเตี๋ยวเส้นใหญ่,18.0,30.0,0.56,0.0,0.031,0.017,0.7,182.0,0.0,5.95,364.0,80.2,1.6
แป้งก๋วยเตี๋ยวที่ยังไม่ได้หั่น,18.0,30.0,0.56,0.0,0.031,0.017,0.7,182.0,0.0,5.95,364.0,80.2,1.6
มักกะโรนี,21.0,223.0,1.51,0.0,0.891,0.4,3.3,6.0,0.0,13.0,371.0,74.7,3.2
สาคูเม็ดเล็ก,20.0,11.0,0.02,0.0,0.004,0.0,1.58,1.0,0.0,0.19,358.0,88.7,0.9
ขนมจีน,4.0,4.0,0.2,0.0,0.018,0.004,0.14,250.0,0.0,1.78,107.0,23.87,1.0
ขนมปังสด,211.0,117.0,3.59,0.0,0.507,0.24,3.36,477.0,0.0,9.43,270.0,49.2,2.3
ขนมปังแห้ง,211.0,117.0,3.59,0.0,0.507,0.24,3.36,477.0,0.0,9.43,270.0,49.2,2.3
ขนมปังป่นหยาบ,183.0,196.0,5.3,0.0,0.967,0.403,4.83,732.0,0.0,13.4,395.0,72.0,4.5
ข้าวคั่วหรือผงขนมปัง,183.0,196.0,5.3,0.0,0.967,0.403,4.83,732.0,0.0,13.4,395.0,72.0,4.5
เกล็ดขนมปัง,183.0,196.0,5.3,0.0,0.967,0.403,4.83,732.0,0.0,13.4,395.0,72.0,4.5
เต้าหู้,350.0,121.0,4.78,0.1,0.081,0.052,5.36,7.0,0.0,8.08,76.0,1.87,0.3
เต้าหู้เหลือง,350.0,121.0,4.78,0.1,0.081,0.052,5.36,7.0,0.0,8.08,76.0,1.87,0.3
เต้าหู้เหลืองอย่างอ่อน,961.0,146.0,20.2,0.0,0.17,0.05,4.87,16.0,0.0,18.8,270.0,8.86,3.9
เต้าหู่ยี้อย่างดี,46.0,75.0,8.0,0.2,0.157,0.101,1.98,2870.0,0.0,8.92,116.0,4.38,0.0
เต้าหู้ยี้,46.0,75.0,8.0,0.2,0.157,0.101,1.98,2870.0,0.0,8.92,116.0,4.38,0.0
น้ำปลา,43.0,288.0,0.01,0.5,0.012,0.057,0.78,7851.0,4.0,5.06,35.0,3.64,0.0
น้ำเคยดี,172.0,314.0,27.74,0.1,0.082,0.414,1.6,9.0,0.0,9.0,458.0,47.81,4.8
น้ำเคย,172.0,314.0,27.74,0.1,0.082,0.414,1.6,9.0,0.0,9.0,458.0,47.81,4.8
กะปิ,172.0,314.0,27.74,0.1,0.082,0.414,1.6,9.0,0.0,9.0,458.0,47.81,4.8
น้ำพริกก้อย,172.0,314.0,27.74,0.1,0.082,0.414,1.6,9.0,0.0,9.0,458.0,47.81,4.8
น้ำพริกเผา,211.0,117.0,3.59,0.0,0.507,0.24,3.36,477.0,0.0,9.43,270.0,49.2,2.3
เครื่องแกงเผ็ด,7.0,101.0,0.91,0.3,0.04,0.055,0.67,547.0,36.0,0.62,30.0,4.87,0.5
เครื่องพะโล้,330.0,1950.0,14.3,0.7,0.25,0.94,17.3,2870.0,1480.0,13.5,282.0,49.7,34.8
ผงกะหรี่,525.0,1170.0,14.0,0.7,0.176,0.2,19.1,52.0,1.0,14.3,325.0,55.8,53.2
ผงปรุงรส,3.0,105.0,1.2,0.2,0.035,0.085,0.21,143.0,1.0,2.52,36.0,3.53,0.0
ซีอิ๊ว,33.0,435.0,0.57,0.0,0.033,0.165,1.45,5490.0,0.0,8.14,53.0,4.93,0.8
ซีอิ๊วขาว,33.0,435.0,0.57,0.0,0.033,0.165,1.45,5490.0,0.0,8.14,53.0,4.93,0.8
ซีอิ๊วใส,33.0,435.0,0.57,0.0,0.033,0.165,1.45,5490.0,0.0,8.14,53.0,4.93,0.8
ซีอิ๊วเค็ม,33.0,435.0,0.57,0.0,0.033,0.165,1.45,5490.0,0.0,8.14,53.0,4.93,0.8
ซี้อิ๊วขาว,33.0,435.0,0.57,0.0,0.033,0.165,1.45,5490.0,0.0,8.14,53.0,4.93,0.8
น้ำซีอิ๊ว,33.0,435.0,0.57,0.0,0.033,0.165,1.45,5490.0,0.0,8.14,53.0,4.93,0.8
ซีอิ้วขาว,33.0,435.0,0.57,0.0,0.033,0.165,1.45,5490.0,0.0,8.14,53.0,4.93,0.8
ซีอิ้วดำ,32.0,119.0,3.39,0.4,0.004,0.217,1.01,1620.0,0.0,3.31,220.0,44.1,2.8
ซีอิ๊วดำ,32.0,119.0,3.39,0.4,0.004,0.217,1.01,1620.0,0.0,3.31,220.0,44.1,2.8
เต้าเจี้ยว,57.0,210.0,6.01,0.0,0.098,0.233,2.49,3728.0,4.0,12.79,198.0,25.37,5.4
เต้าเจี้ยวน้ำ,57.0,210.0,6.01,0.0,0.098,0.233,2.49,3728.0,4.0,12.79,198.0,25.37,5.4
ซอสปรุงรส,150.0,262.0,8.0,7.0,0.2,0.432,1.0,5730.0,0.0,13.0,344.0,58.0,0.0
ซอสฝาเขียว,150.0,262.0,8.0,7.0,0.2,0.432,1.0,5730.0,0.0,13.0,344.0,58.0,0.0
แม็กกี้,150.0,262.0,8.0,7.0,0.2,0.432,1.0,5730.0,0.0,13.0,344.0,58.0,0.0
ซอสศรีราชา,18.0,321.0,0.93,26.9,0.077,0.222,1.64,2120.0,129.0,1.93,93.0,19.2,2.2
ซอสมะเขือเทศ,15.0,281.0,0.1,4.1,0.011,0.166,0.35,907.0,26.0,1.04,101.0,27.4,0.3
ซอสกระต่าย,15.0,281.0,0.1,4.1,0.011,0.166,0.35,907.0,26.0,1.04,101.0,27.4,0.3
น้ำมันหอย,32.0,54.0,0.25,0.1,0.01,0.124,0.18,2730.0,0.0,1.35,51.0,10.9,0.3
น้ำมัน,14.0,35.0,34.0,0.0,0.01,0.02,0.2,1000.0,22.0,0.9,389.0,22.4,0.4
น้ำมันงา,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,0.0,0.0
น้ำมันรำ,0.0,0.0,100.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,884.0,0.0,0.0
น้ำมันรำข้าว,0.0,0.0,100.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,884.0,0.0,0.0
น้ำมันสำหรับทอด,14.0,35.0,34.0,0.0,0.01,0.02,0.2,1000.0,22.0,0.9,389.0,22.4,0.4
น้ำมันพืช,14.0,35.0,34.0,0.0,0.01,0.02,0.2,1000.0,22.0,0.9,389.0,22.4,0.4
เนย,24.0,24.0,81.1,0.0,0.005,0.034,0.02,643.0,684.0,0.85,717.0,0.06,0.0
เนยสด,24.0,24.0,81.1,0.0,0.005,0.034,0.02,643.0,684.0,0.85,717.0,0.06,0.0
เนยละลาย,24.0,24.0,81.1,0.0,0.005,0.034,0.02,643.0,684.0,0.85,717.0,0.06,0.0
เนยสำหรับทาภาชนะ,24.0,24.0,81.1,0.0,0.005,0.034,0.02,643.0,684.0,0.85,717.0,0.06,0.0
เนยแข็งป่น,707.0,77.0,34.0,0.0,0.029,0.441,0.16,654.0,316.0,23.3,409.0,2.44,0.0
เนยแข็ง,707.0,77.0,34.0,0.0,0.029,0.441,0.16,654.0,316.0,23.3,409.0,2.44,0.0
กะทิ,16.0,263.0,23.8,2.8,0.026,0.0,1.64,15.0,0.0,2.29,230.0,5.54,2.2
หัวกะทิ,11.0,325.0,34.7,2.8,0.03,0.0,2.28,4.0,0.0,3.63,330.0,6.65,2.2
น้ำตาล,1.0,2.0,0.32,0.0,0.0,0.0,0.05,1.0,0.0,0.0,385.0,99.6,0.0
น้ำตาลทราย,1.0,2.0,0.32,0.0,0.0,0.0,0.05,1.0,0.0,0.0,385.0,99.6,0.0
น้ำตาลปึก,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,884.0,0.0,0.0
น้ำตาลปีบ,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,884.0,0.0,0.0
น้ำตาลหม้อ,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,884.0,0.0,0.0
น้ำตาลมะพร้าว,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,884.0,0.0,0.0
น้ำตาลโตนด,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,884.0,0.0,0.0
น้ำตาลมะพร้าว หรือ น้ำตาลโตนด,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,884.0,0.0,0.0
น้ำตาลมะพร้าวหรือน้ำตาลตะโหนด,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,884.0,0.0,0.0
น้ำเชื่อม,3.0,15.0,0.0,0.0,0.024,0.008,0.03,82.0,0.0,0.0,234.0,61.5,0.0
น้ำผึ้ง,6.0,52.0,0.0,0.5,0.0,0.038,0.42,4.0,0.0,0.3,304.0,82.4,0.2
น้ำส้ม,6.0,2.0,0.0,0.0,0.0,0.0,0.03,2.0,0.0,0.0,18.0,0.04,0.0
น้ำส้มสายชู,6.0,2.0,0.0,0.0,0.0,0.0,0.03,2.0,0.0,0.0,18.0,0.04,0.0
เกลือ,24.0,8.0,0.0,0.0,0.0,0.0,0.33,38800.0,0.0,0.0,0.0,0.0,0.0
เกลือป่น,24.0,8.0,0.0,0.0,0.0,0.0,0.33,38800.0,0.0,0.0,0.0,0.0,0.0
ผงฟู,5880.0,20.0,0.0,0.0,0.0,0.0,11.0,10600.0,0.0,0.0,53.0,27.7,0.2
ดินประสิว,20.0,77.0,0.07,8.8,0.016,0.076,0.49,32.0,0.0,0.37,278.0,68.9,1.1
อบเชย,1000.0,431.0,1.24,3.8,0.022,0.041,8.32,10.0,15.0,3.99,247.0,80.6,53.1
อบเชย ประมาณ,1000.0,431.0,1.24,3.8,0.022,0.041,8.32,10.0,15.0,3.99,247.0,80.6,53.1
อบเชยเล็ก,1000.0,431.0,1.24,3.8,0.022,0.041,8.32,10.0,15.0,3.99,247.0,80.6,53.1
โป๊ยกั๊ก,646.0,1440.0,15.9,21.0,0.34,0.29,37.0,16.0,16.0,17.6,337.0,50.0,14.6
