ingredient_id,recipe_id,component_group,ingredient_name,nutrition_name,quantity,unit,grams_approx
67,6,พริกสามสี,พริกสวนนอก,พริกสวน,6,เม็ด,
68,6,พริกสามสี,พริกขี้หนู,พริกขี้หนู,1,ช้อนชา,5.0
69,7,ส่วนผสมหลัก,ไข่ปลาดุกนึ่ง,ไข่ปลาดุก,6,ฝัก,
70,7,ส่วนผสมหลัก,มะม่วงดิบ,มะม่วง,2,ช้อนโต๊ะพูน,
71,7,ส่วนผสมหลัก,หัวหอมซอย,หัวหอมซอย,2,ช้อนโต๊ะพูน,
72,7,ส่วนผสมหลัก,น้ำเคยดี,น้ำเคยดี,1,ช้อนโต๊ะ,15.0
73,7,ส่วนผสมหลัก,พริกขี้หนู,พริกขี้หนู,4,เม็ด,
74,8,ส่วนผสมหลัก,ปลาทูนึ่ง,ปลาทูนึ่ง,4,ตัว,
75,8,ส่วนผสมหลัก,หัวหอมซอย,หัวหอมซอย,2,ซ้อนโต๊ะ,30.0
76,8,ส่วนผสมหลัก,ขิงซอย,ขิงซอย,2,ซ้อนโต๊ะ,30.0
77,8,ส่วนผสมหลัก,น้ำปลาดี,น้ำปลาดี,1,ช้อนโต๊ะ,18.0
78,8,ส่วนผสมหลัก,มะนาว,มะนาว,1,ผล,40.0
79,8,ส่วนผสมหลัก,พริกชี้ฟ้าเขียวแดง,พริกชี้ฟ้าเขียวแดง,10,เม็ด,
80,9,ส่วนผสมหลัก,มะพร้าวขูด,มะพร้าวขูด,1/2,ถ้วยชา,60.0
81,9,ส่วนผสมหลัก,น้ำ,น้ำ,2,ถ้วย,480.0
82,9,ส่วนผสมหลัก,ตะไคร้,ตะไคร้,1,ต้น,
83,9,ส่วนผสมหลัก,ใบมะกรูด,ใบมะกรูด,3,ใบ,
84,9,ส่วนผสมหลัก,เนื้อปลา,เนื้อปลา,1,ถ้วยชา,120.0
85,9,ส่วนผสมหลัก,น้ำพริกเผา,น้ำพริกเผา,1,ช้อนชา,5.0
86,9,ส่วนผสมหลัก,น้ำปลา,น้ำปลา,1,ช้อนโต๊ะ,18.0
87,9,ส่วนผสมหลัก,น้ำมะนาว,น้ำมะนาว,1,ช้อนโต๊ะ,15.0
88,9,ส่วนผสมหลัก,ผักชี,ผักชี,1,ต้น,
89,9,ส่วนผสมหลัก,ต้นหอม,ต้นหอม,1,ต้น,
90,9,ส่วนผสมหลัก,กระเทียมเจียว,กระเทียมเจียว,1,ช้อนโต๊ะ,15.0
91,10,ส่วนผสมหลัก,อกไก่,อกไก่,4,ชิ้น,
92,10,ส่วนผสมหลัก,แป้งสาลี,แป้งสาลี,2,ช้อนโต๊ะ,16.0
93,10,ส่วนผสมหลัก,หอมหัวเล็กซอยละเอียด,หอมหัวเล็กซอยละเอียด,1,ช้อนชา,5.0
94,10,ส่วนผสมหลัก,หอมใหญ่ซอยตามขวาง,หอมใหญ่ซอยตามขวาง,2,ช้อนโต๊ะ,30.0
95,10,ส่วนผสมหลัก,ตะไคร้ซอยฝอย,ตะไคร้ซอยฝอย,1,ช้อนโต๊ะ,15.0
96,10,ส่วนผสมหลัก,กระเทียม,กระเทียม,5,กลีบ,10.0
97,10,ส่วนผสมหลัก,รากผักชี,รากผักชี,1,ช้อนชา,5.0
98,10,ส่วนผสมหลัก,น้ำปลา,น้ำปลา,2,ช้อนโต๊ะ,36.0
99,10,ส่วนผสมหลัก,น้ำมะนาว,น้ำมะนาว,1,ช้อนโต๊ะ,15.0
100,10,ส่วนผสมหลัก,พริกขี้หนู,พริกขี้หนู,8,เม็ด,
101,10,ส่วนผสมหลัก,น้ำตาล,น้ำตาล,1/2,ช้อนชา,2.5
102,10,ส่วนผสมหลัก,ผักชีซอยสำหรับโรย,ผักชีซอยสำหรับโรย,1,ช้อนชา,5.0
103,10,ส่วนผสมหลัก,ถั่วลิสงทอดกรอบ,ถั่วลิสงทอดกรอบ,2,ช้อนโต๊ะ,30.0
104,11,ส่วนผสมหลัก,กล้วยน้ำว้าสุก,กล้วยน้ำว้าสุก,5,ผล,
105,11,ส่วนผสมหลัก,มะพร้าวขูด,มะพร้าวขูด,2,ถ้วยชา,240.0
106,11,ส่วนผสมหลัก,น้ำดอกไม้สด,น้ำดอกไม้สด,2,ถ้วยชา,240.0
107,11,ส่วนผสมหลัก,ถั่วทองคั่วหรือถั่วเขียวคั่ว,ถั่วทองคั่วหรือถั่วเขียวคั่ว,1,ช้อนพูน,
108,11,ส่วนผสมหลัก,เกลือ,เกลือ,1/2,ช้อนชา,2.5
109,11,ส่วนผสมหลัก,น้ำตาล,น้ำตาล,2,ช้อนโต๊ะ,30.0
110,12,ส่วนผสมหลัก,ฟักทองปอกเปลือกและหั่นเป็นชิ้น,ฟักทองปอกเปลือกและหั่นเป็นชิ้น,2,ถ้วยพูน,
111,12,ส่วนผสมหลัก,กุ้งตะเข็บ,กุ้งตะเข็บ,100,กรัม,100.0
112,12,ส่วนผสมหลัก,เกลือ,เกลือ,1,ช้อนโต๊ะ,15.0
113,12,ส่วนผสมหลัก,กะปิ,กะปิ,1,ช้อนชา,5.0
114,12,ส่วนผสมหลัก,พริกแห้ง,พริกแห้ง,5,เม็ด,
